Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_246,3.7416573867739413,4.58257569495584,3.3166247903554
BRATS_247,3.605551275463989,2.0,1.0
BRATS_248,3.0,1.4142135623730951,1.4142135623730951
BRATS_249,8.06225774829855,2.23606797749979,1.7320508075688772
BRATS_250,3.3166247903554,10.353725315313525,2.23606797749979
BRATS_251,1.4142135623730951,1.4142135623730951,1.0
BRATS_252,1.7320508075688772,2.23606797749979,2.23606797749979
BRATS_253,1.7320508075688772,1.7320508075688772,2.23606797749979
BRATS_254,1.0,1.4142135623730951,1.4142135623730951
BRATS_255,1.7320508075688772,1.7320508075688772,1.7320508075688772
BRATS_256,3.293472720827122,3.7416573867739413,4.123105625617661
BRATS_257,1.4142135623730951,20.506085769127075,19.872087948714142
BRATS_258,2.0,2.0,1.4142135623730951
BRATS_259,1.7320508075688772,22.869193252058544,2.23606797749979
BRATS_260,5.0990195135927845,5.0990195135927845,4.58257569495584
BRATS_261,3.1622776601683795,9.433981132056603,9.008307770720592
BRATS_262,3.3166247903554,33.989703655153,373.13
BRATS_263,3.3166247903554,15.0,373.13
BRATS_264,49.56056727068202,4.242640687119285,373.13
BRATS_265,2.23606797749979,1.7320508075688772,373.13
BRATS_266,2.0,5.744562646538029,373.13
BRATS_267,3.4641016151377544,23.313064256751566,1.4142135623730951
BRATS_268,3.0,3.0,373.13
BRATS_269,3.0,5.0,373.13
BRATS_270,1.0,1.0,1.0
BRATS_271,1.7320508075688772,1.4142135623730951,7.186716608093182
BRATS_272,2.23606797749979,14.45683229480096,373.13
BRATS_273,10.392304845413264,5.0,24.413111231467404
BRATS_274,8.602325267042627,12.84523257866513,4.898979485566356
BRATS_275,61.43289021363068,90.57151652292843,0.0
BRATS_276,4.47213595499958,1.4142135623730951,1.4142135623730951
BRATS_277,109.7708977611092,114.95216396397242,108.24047302187847
BRATS_278,4.242640687119285,46.34652090502587,373.13
BRATS_279,7.0710678118654755,7.280109889280518,373.13
BRATS_280,1.7320508075688772,20.71231517720798,18.187900573515932
BRATS_281,3.1622776601683795,13.038404810405298,373.13
BRATS_282,3.0,17.0,7.874007874011811
BRATS_283,1.4142135623730951,7.14142842854285,4.242640687119285
BRATS_284,5.477225575051661,7.681145747868608,16.55294535724685
BRATS_285,4.898979485566356,3.3166247903554,4.58257569495584
BRATS_286,5.385164807134504,6.4031242374328485,373.13
BRATS_287,1.0,3.1622776601683795,3.1622776601683795
BRATS_288,4.69041575982343,9.899494936611665,1.4142135623730951
BRATS_289,3.0,10.770329614269007,373.13
BRATS_290,7.3484692283495345,11.74734012447073,2.0
BRATS_291,1.4142135623730951,9.899494936611665,33.40796359872259
BRATS_292,2.23606797749979,3.0,11.575836902790225
BRATS_293,7.0710678118654755,12.409673645990857,3.0
BRATS_294,3.0,6.0,373.13
BRATS_295,1.7320508075688772,3.1622776601683795,14.802019594967227
BRATS_296,1.7320508075688772,5.196152422706632,7.54983443527075
BRATS_297,14.422205101855956,10.488088481701515,0.0
BRATS_298,2.449489742783178,8.06225774829855,12.68857754044952
BRATS_299,2.449489742783178,2.0,14.866068747318506
BRATS_300,3.605551275463989,15.297058540778355,1.0
BRATS_301,6.164414002968976,10.770329614269007,11.532562594670797
BRATS_302,5.385164807134504,5.830951894845301,4.123105625617661
BRATS_303,7.810249675906654,17.72004514666935,14.352700094407323
BRATS_304,3.3166247903554,6.4031242374328485,373.13
BRATS_305,2.449489742783178,4.123105625617661,373.13
BRATS_306,3.7416573867739413,19.026297590440446,373.13
BRATS_307,7.3484692283495345,4.47213595499958,17.603974758617802
BRATS_308,5.385164807134504,11.445523142259598,4.488701915992978
BRATS_309,4.123105625617661,7.54983443527075,15.722564305357416
BRATS_310,4.123105625617661,5.385164807134504,373.13
BRATS_311,5.385164807134504,15.0,1.4142135623730951
BRATS_312,4.123105625617661,14.594519519326424,373.13
BRATS_313,3.3166247903554,5.0,13.152946437965905
BRATS_314,6.4031242374328485,3.4641016151377544,1.4142135623730951
BRATS_315,1.0,2.0,1.4142135623730951
BRATS_316,5.656854249492381,10.816653826391969,13.638181696985855
BRATS_317,1.4142135623730951,3.0,1.4142135623730951
BRATS_318,3.0,5.196152422706632,12.427775324389902
BRATS_319,2.23606797749979,4.58257569495584,373.13
BRATS_320,11.886952047270407,2.23606797749979,2.23606797749979
BRATS_321,1.4142135623730951,5.0990195135927845,373.13
BRATS_322,1.4142135623730951,4.0,18.136223553026138
BRATS_323,3.7416573867739413,7.280109889280518,38.899871125380244
BRATS_324,2.0,18.973665961010276,373.13
BRATS_325,25.19622887980631,373.13,373.13
BRATS_326,5.744562646538029,13.638181696985855,14.866068747318506
BRATS_327,2.23606797749979,5.830951894845301,5.366263568691648
BRATS_328,7.14142842854285,12.727922061357855,51.22499389946279
BRATS_329,2.8284271247461903,12.727922061357855,373.13
BRATS_330,1.7320508075688772,3.0,373.13
BRATS_331,4.0,6.164414002968976,1.7320508075688772
BRATS_332,1.4142135623730951,20.46948949045872,2.0
BRATS_333,2.23606797749979,11.575836902790225,11.445523142259598
BRATS_334,2.0,2.23606797749979,2.23606797749979
BRATS_335,4.242640687119285,8.06225774829855,373.13
BRATS_336,1.0,1.0,1.0
BRATS_337,1.0,1.0,1.0
BRATS_338,2.0,1.4142135623730951,1.0
BRATS_339,2.449489742783178,2.0,1.0
BRATS_340,2.0,2.0,1.0
BRATS_341,3.0,1.0,1.0
BRATS_342,3.605551275463989,3.1622776601683795,1.4142135623730951
